9813:17,616,302,8,654,245,542,518,76,564
12912:17,302,654,616,58,84,29,8,650,76
30990:17,302,70,654,616,76,81,138,564,226
4132:17,616,302,654,58,8,542,15,518,84
8264:17,542,616,302,654,564,58,15,32,1023
11363:17,302,654,866,58,616,76,84,70,354
43386:74138,205,56644,2579,17946,28044,59911,14784,24871,28248
15495:17,616,302,654,58,8,650,542,76,564
3100:302,17,616,654,58,84,29,8,76,650
7232:17,302,226,654,76,616,138,84,354,58
15496:17,76,245,508,2548,226,533,616,1002,15
17562:17,616,654,302,58,542,8,15,518,564
24793:17,302,654,76,616,58,8,866,84,29
1551:17,302,654,616,58,84,8,29,650,518
31508:17,302,654,76,616,58,8,866,84,29
5683:17,302,654,84,76,616,58,719,8,301
8782:168,719,5557,1400,8860,5480,463,2153,1460,8733
38739:17,302,654,76,616,58,8,866,84,29
23244:17,302,654,616,58,650,76,29,8,542
2068:17,616,302,654,58,8,518,542,15,245
4134:3931,17930,24768,12084,110287,32228,202,39380,29007,14394
16530:17,245,302,654,616,15,58,518,8,84
1552:29723,19245,1402,1465,35722,70,1410,81,7006,29
4651:17,302,654,616,58,29,650,542,15,8
3102:168,984,1400,574,5480,463,719,8733,5557,8860
34092:56697,62,83353,27165,10775,54479,14504,104766,89028,48337
13432:17,616,787,654,518,302,58,8,84,542
16531:17,302,654,76,616,58,8,866,84,29
1553:17,616,654,302,58,542,518,8,61,564
31510:89738,48721,100486,24983,11050,53526,29327,2548,717,101917
7751:17,654,302,58,616,84,29,8,354,518
37708:17,302,654,76,616,58,8,866,84,29
11883:35382,11825,13046,79651,225,13183,14797,8364,17,302
14982:17,302,654,616,58,224,76,650,29,8
22213:2121,807,1099,17,12710,650,363,119,873,18704
2070:302,84,654,616,17,58,8,518,1102,76
34093:24491,17429,1160,99539,114230,3757,28474,58048,364,32792
6202:17,302,654,616,58,564,650,8,84,542
16532:2593,73140,199,102315,361,20159,98534,931,23370,57684
46489:17,302,654,76,616,58,8,866,84,29
9818:10340,35691,17,302,654,76,616,58,8,866
11884:36642,68753,71668,44106,117336,63312,33287,36786,5538,13048
2071:17,302,654,616,58,8,84,518,542,76
35127:17,302,654,76,616,58,8,866,84,29
10335:6500,41662,669,11577,88198,12968,34913,17186,97898,97784
13434:17,302,654,616,58,84,8,29,76,518
11885:17,70,76,302,616,654,8,58,564,508
12918:17,302,616,29,84,654,58,8,76,650
16017:508,564,17,65260,76,542,358,1382,1099,2275
2072:302,17,654,616,84,58,518,1102,8,29
3105:17,654,302,58,8,518,84,15,564,29
4138:17,302,654,616,899,8,84,70,58,76
8270:17,654,302,58,616,84,354,8,518,76
40293:9655,7950,43930,1267,15947,301,1069,302,327,7306
13435:17,302,654,58,616,361,76,70,542,15
25831:9594,4671,14259,1468,1077,7468,17,7622,787,327
27897:24246,2405,84430,16424,46724,31295,13926,19000,113529,52989
32546:17,302,654,76,616,58,8,866,84,29
9820:4268,245,17,15,1262,61,518,3521,94,2233
42876:17,70,138,302,654,616,76,58,354,84
27381:69953,45675,39662,74565,6491,8465,33432,22511,17,302
28414:17,302,654,76,616,58,8,866,84,29
6205:17,302,654,616,58,866,29,84,361,354
13436:10451,23102,97962,93632,745,120488,83772,45703,87051,18085
7:17,302,654,58,616,84,29,8,518,1102
8788:17,302,58,654,616,29,84,8,76,650
10854:20390,76022,34090,67308,15486,46722,80232,13566,54897,51617
13953:17,361,302,76,654,616,58,84,354,8
26349:17,302,654,76,616,58,8,866,84,29
30481:17,70,76,616,302,654,58,564,8,780
2074:17,76,8,2139,616,302,508,564,70,81
3107:17,76,616,70,302,654,81,58,226,8
4140:168,1326,76,719,984,2337,2153,226,1528,463
7239:17,616,302,654,58,15,518,564,8,101
14470:17,654,616,58,302,84,518,1102,8,29
15503:899,17,1187,48,2162,302,875,84,1119,654
2591:17,616,302,654,58,8,76,542,29,84
6723:17,302,564,654,616,58,650,8,84,508
8789:17,616,8,76,302,654,518,58,564,245
16020:17,302,654,76,616,58,8,866,84,29
17053:17,302,616,654,429,58,8,861,84,1684
525:17,302,654,616,84,58,518,8,76,70
30482:17,361,302,654,29,354,84,58,76,616
